logv,outcome
1.4297373061445948, 0.04747479314554326
1.5175543699416738, 0.09647556178504857
1.600386580458471, 0.010116652348870048
1.695663968892707, 0.32972374191797904
1.7835488538228512, 0.10845729529320991
1.8763281638558575, 0.3829068137631655
1.9590699461952346, 0.6569041913460225
2.054403852240358, 0.7512886015282323
2.1421078808156624, 1.2507347289415378
2.2296762671248365, 2.290715286883392
2.317402902744495, 2.700072342541933
2.407605009721029, 3.2446760410543902
2.492449247185423, 5.140389745444679
2.579802866573224, 7.036216485056743
2.6723108920739707, 8.391734864583803
2.7571325224940093, 10.37753764072885
2.84734593299272, 10.877096803363926
2.9326536148663926, 10.925984536781659
3.023183523986074, 10.164296694850114
3.1111927476601706, 9.447540353574173
3.199880182664918, 6.028111859655468
3.2907265904055705, 4.005177013157297
3.37886015282362, 2.7929307772301843
3.4695030971650764, 1.5807975765248425
3.5574671067504635, 1.0442193787584184
